date,max_temp,min_temp,precip
12/15/2041,287.869232,276.559662,97.899796
1/15/2042,290.625885,278.877106,21.502644
2/15/2042,290.913361,280.059296,138.7677
3/15/2042,289.572418,279.981689,281.030945
4/15/2042,294.842682,284.896423,19.870665
5/15/2042,306.172272,289.662872,5.160151
6/15/2042,308.987701,290.855072,0.969797
7/15/2042,309.25592,293.249603,1.94176
8/15/2042,309.674927,291.974457,0.569307
9/15/2042,308.557953,292.350464,4.082592
10/15/2042,305.545593,289.312073,1.911003
11/15/2042,291.693634,280.220062,126.249916
12/15/2042,288.354645,278.869934,122.459625
1/15/2043,288.472748,279.600037,59.02327
2/15/2043,293.041199,282.488708,87.190956
3/15/2043,294.941101,281.119141,78.640686
4/15/2043,300.638519,283.109436,0.425864
5/15/2043,305.052185,286.019012,1.526048
6/15/2043,310.044342,291.054779,0.302296
7/15/2043,311.810547,292.803101,1.202865
8/15/2043,310.612946,293.550323,1.283799
9/15/2043,308.171875,289.768585,3.632948
10/15/2043,301.043823,285.358398,38.644417
11/15/2043,295.357422,282.971771,7.790446
12/15/2043,291.487976,279.613037,93.796204
1/15/2044,288.233429,277.446869,60.754169
2/15/2044,293.084503,278.107452,19.045595
3/15/2044,294.831207,279.577118,49.354206
4/15/2044,303.954987,286.20108,27.985332
5/15/2044,307.934845,290.712128,4.882939
6/15/2044,309.649261,292.62442,1.941009
7/15/2044,311.610748,294.983856,0
8/15/2044,311.770386,295.405701,2.010014
9/15/2044,309.188507,290.672882,0.881914
10/15/2044,299.976044,285.007874,151.915436
11/15/2044,297.068481,283.154297,31.190926
12/15/2044,285.942993,277.373199,360.998169
1/15/2045,288.632141,277.555603,63.242706
2/15/2045,291.775085,283.34198,134.239304
3/15/2045,292.83548,279.069061,19.126099
4/15/2045,296.044556,282.076874,18.146572
5/15/2045,304.850922,286.603577,0.364961
6/15/2045,310.545837,293.852448,1.494325
7/15/2045,312.337036,295.962799,0.292163
8/15/2045,309.247437,294.036255,2.266715
9/15/2045,307.319458,291.12381,7.235737
10/15/2045,304.301819,287.856903,0.867563
11/15/2045,290.628693,280.549164,98.877449
12/15/2045,288.233582,279.16507,81.225906
1/15/2046,291.052734,279.474457,55.292118
2/15/2046,291.999939,280.991333,157.275726
3/15/2046,292.810608,277.702423,12.466343
4/15/2046,298.03006,280.695953,5.133475
5/15/2046,305.787537,288.802948,4.434264
6/15/2046,306.02951,289.463501,77.173119
7/15/2046,311.437134,295.652588,0.568953
8/15/2046,310.081909,291.653992,0.28683
9/15/2046,307.536652,291.212585,3.461296
10/15/2046,304.975922,287.707031,0.370899
11/15/2046,293.775818,280.940155,21.710295
12/15/2046,288.722931,280.013428,128.855652
1/15/2047,285.392578,277.440826,229.972031
2/15/2047,293.372406,280.246338,11.561009
3/15/2047,296.028198,280.302399,13.882935
4/15/2047,296.610809,280.75531,20.315044
5/15/2047,302.784912,286.020538,2.289572
6/15/2047,309.497345,291.718384,3.044972
7/15/2047,310.155548,294.752289,12.103604
8/15/2047,311.80191,294.33551,1.297708
9/15/2047,310.270172,295.259125,11.047539
10/15/2047,300.67276,289.219482,67.538467
11/15/2047,290.890594,280.676941,146.415695
12/15/2047,286.584808,277.256073,168.74472
1/15/2048,291.867889,280.144501,1.81972
2/15/2048,292.979919,283.024597,139.881409
3/15/2048,293.544464,280.507141,56.063328
4/15/2048,297.930481,284.025543,27.142115
5/15/2048,306.098083,288.878265,8.832663
6/15/2048,308.671417,290.441803,1.971162
7/15/2048,309.927795,292.756531,0.5736
8/15/2048,311.316132,293.643341,2.316787
9/15/2048,309.56842,291.474701,0.624028
10/15/2048,302.658661,287.688141,16.843399
11/15/2048,295.677399,281.580841,30.704899
12/15/2048,285.223267,276.145172,49.787014
1/15/2049,287.918823,277.427063,72.195076
2/15/2049,288.557648,278.644958,174.398148
3/15/2049,291.725464,281.664581,195.990219
4/15/2049,298.115326,283.773438,12.794188
5/15/2049,302.89679,286.371094,12.454838
6/15/2049,310.884644,293.3255,1.508618
7/15/2049,311.475403,295.606506,0.288087
8/15/2049,308.813477,292.78418,12.421967
9/15/2049,304.474731,288.962006,32.476875
10/15/2049,301.809906,284.637756,13.086524
11/15/2049,295.276459,281.486603,1.75651
12/15/2049,290.325714,280.584961,87.379631
1/15/2050,292.08075,278.622192,22.303333
2/15/2050,293.144073,279.077179,11.523515
3/15/2050,294.89682,281.059204,57.238083
4/15/2050,294.937622,285.070587,127.164116
5/15/2050,304.441956,287.142426,0.897351
6/15/2050,308.106415,289.407715,1.876626
7/15/2050,311.487701,294.813171,0.315067
8/15/2050,309.57724,293.160583,44.643044
9/15/2050,309.497131,293.177429,2.906995
10/15/2050,301.879364,288.367889,38.716923
11/15/2050,295.258301,282.645569,11.561152
12/15/2050,287.803375,279.059052,191.762253
1/15/2051,287.302948,275.173096,14.075346
2/15/2051,291.082581,278.972107,52.715752
3/15/2051,294.457581,283.239319,28.253672
4/15/2051,299.637756,285.347198,38.963417
5/15/2051,304.045135,287.333527,13.957755
6/15/2051,308.378326,290.613861,1.17427
7/15/2051,310.737915,293.784241,0
8/15/2051,313.128845,295.457275,0.328195
9/15/2051,310.598206,293.616364,1.051675
10/15/2051,305.066162,287.775238,1.426754
11/15/2051,293.438477,281.806519,43.068508
12/15/2051,288.973724,277.627533,38.267818
1/15/2052,289.847931,276.133087,45.494965
2/15/2052,295.032043,280.18573,36.501251
3/15/2052,294.324585,283.761383,139.747299
4/15/2052,298.373718,284.642151,15.474694
